               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.051599,            0.046711,           0.0027122,             0.93593,             0.88969,              0.9441,             0.56308,            0.044354,            0.036326,           0.0021211,            0.002377,            0.002377,            0.002377
                  79,            0.050701,               0.047,           0.0025629,             0.93734,             0.88558,             0.93986,              0.5603,            0.043601,             0.03609,           0.0020847,            0.002278,            0.002278,            0.002278
                  80,            0.050924,            0.045415,           0.0025959,             0.92481,             0.90258,             0.94628,             0.57513,            0.043618,            0.036093,            0.002024,            0.002179,            0.002179,            0.002179
                  81,            0.049296,            0.044536,           0.0024462,             0.93469,             0.90219,             0.95441,             0.56997,            0.043706,             0.03532,           0.0019559,             0.00208,             0.00208,             0.00208
                  82,            0.048644,            0.045302,           0.0026873,             0.93584,             0.90296,             0.95647,             0.56957,            0.043625,            0.035616,            0.001919,            0.001981,            0.001981,            0.001981
                  83,            0.049559,            0.045238,           0.0021115,             0.93587,              0.9054,             0.95105,             0.57141,            0.043189,            0.035704,           0.0017978,            0.001882,            0.001882,            0.001882
                  84,            0.048729,            0.042317,           0.0025512,             0.92458,             0.92604,             0.95328,             0.57008,            0.043146,             0.03601,           0.0017836,            0.001783,            0.001783,            0.001783
                  85,            0.049307,            0.044047,           0.0021614,             0.93552,             0.93172,             0.95588,             0.57349,            0.043534,            0.036196,           0.0017246,            0.001684,            0.001684,            0.001684
                  86,            0.048808,            0.044835,           0.0021162,             0.92449,              0.9195,             0.94996,             0.57683,            0.043174,            0.036256,           0.0016599,            0.001585,            0.001585,            0.001585
                  87,             0.04698,            0.044853,           0.0021836,             0.92552,             0.91448,             0.94956,             0.57731,            0.043951,            0.036107,           0.0016783,            0.001486,            0.001486,            0.001486
                  88,            0.050117,            0.042846,           0.0023804,             0.92189,             0.91315,             0.95217,               0.583,             0.04302,            0.035928,           0.0016916,            0.001387,            0.001387,            0.001387
                  89,            0.048389,             0.04381,           0.0017979,             0.91225,             0.91537,             0.95354,             0.58623,            0.043473,            0.035742,           0.0016415,            0.001288,            0.001288,            0.001288
                  90,            0.048291,            0.043646,           0.0018671,             0.91507,             0.91976,             0.95511,             0.58411,            0.043428,            0.035606,           0.0015967,            0.001189,            0.001189,            0.001189
                  91,            0.048745,            0.043555,           0.0019412,             0.92287,             0.91876,             0.95459,             0.58143,            0.043253,            0.035726,           0.0015751,             0.00109,             0.00109,             0.00109
                  92,            0.048418,            0.043509,           0.0024127,             0.92247,             0.92434,             0.95475,             0.58115,            0.043312,            0.035877,           0.0015655,            0.000991,            0.000991,            0.000991
                  93,            0.049008,            0.045899,           0.0019338,             0.91541,             0.92478,             0.95261,             0.58214,            0.043168,            0.036031,           0.0015703,            0.000892,            0.000892,            0.000892
                  94,            0.048175,            0.045991,           0.0020692,             0.92896,             0.91851,             0.95143,             0.58291,            0.042799,            0.035502,           0.0015263,            0.000793,            0.000793,            0.000793
                  95,            0.047703,            0.042276,           0.0020479,             0.93521,             0.91864,             0.95253,             0.58238,            0.042596,            0.035312,           0.0014736,            0.000694,            0.000694,            0.000694
                  96,            0.048949,            0.044391,           0.0022005,             0.93134,             0.92003,             0.95387,             0.58271,             0.04317,            0.035418,            0.001494,            0.000595,            0.000595,            0.000595
                  97,            0.047823,            0.041521,           0.0022639,              0.9331,             0.91933,             0.95479,             0.58393,            0.042552,            0.035475,            0.001538,            0.000496,            0.000496,            0.000496
                  98,            0.047816,            0.043248,           0.0022775,             0.93472,             0.91756,             0.95512,             0.58478,            0.042286,            0.035576,           0.0015375,            0.000397,            0.000397,            0.000397
                  99,            0.047376,            0.042293,           0.0020809,             0.92455,             0.91893,             0.95192,             0.58286,            0.042594,            0.035486,           0.0015112,            0.000298,            0.000298,            0.000298
